Running insertion:
absl::flat_hash_map;foa_unordered_rc16_map;foa_unordered_rc15_map
10000;0.172489;0.131423;0.137019
10500;0.15906;0.140762;0.147593
11025;0.158892;0.135241;0.126066
11576;0.147572;0.116439;0.123803
12154;0.146167;0.12932;0.13263
12760;0.155955;0.127441;0.12794
13396;0.152946;0.109371;0.121899
14063;0.151807;0.110394;0.19232
14763;0.219576;0.182501;0.198712
15498;0.196807;0.183132;0.188131
16269;0.207007;0.167717;0.168769
17078;0.179371;0.167168;0.174434
17927;0.191054;0.162499;0.166727
18818;0.187091;0.154029;0.15971
19753;0.181206;0.145225;0.157023
20734;0.171653;0.143958;0.152401
21764;0.170267;0.139713;0.144497
22845;0.163679;0.135562;0.140967
23980;0.164704;0.126503;0.135992
25171;0.159094;0.128346;0.137163
26421;0.159054;0.126186;0.13017
27733;0.156725;0.13073;0.219296
29110;0.247836;0.210674;0.20923
30555;0.23957;0.202834;0.204053
32072;0.230814;0.198381;0.19299
33664;0.218001;0.187163;0.182784
35335;0.205855;0.180755;0.176877
37089;0.201431;0.17354;0.169279
38930;0.192465;0.168002;0.164692
40863;0.185833;0.162299;0.156733
42892;0.182306;0.157126;0.151739
45022;0.179001;0.152657;0.147323
47258;0.173422;0.148344;0.143475
49605;0.171848;0.145085;0.141269
52069;0.169911;0.143139;0.140611
54656;0.170309;0.142723;0.219495
57372;0.242521;0.219234;0.209744
60223;0.231116;0.210758;0.202816
63216;0.223725;0.202678;0.194919
66358;0.214801;0.194911;0.187468
69657;0.207047;0.187445;0.179211
73120;0.200729;0.180668;0.173039
76756;0.194287;0.174372;0.167244
80573;0.18822;0.168632;0.161905
84580;0.181379;0.162971;0.156414
88787;0.179016;0.158102;0.152576
93204;0.174556;0.15413;0.149332
97841;0.172414;0.150201;0.147268
102709;0.171656;0.14802;0.1465
107820;0.171862;0.146929;0.227885
113186;0.176811;0.147742;0.219357
118820;0.241125;0.218983;0.210653
124735;0.232109;0.210406;0.202422
130945;0.224099;0.202442;0.19557
137465;0.216312;0.19512;0.188498
144311;0.208816;0.187968;0.181669
151499;0.20231;0.181652;0.175589
159046;0.195968;0.175148;0.169533
166970;0.190073;0.169539;0.163931
175290;0.185419;0.164422;0.160323
184026;0.181837;0.160821;0.155903
193198;0.178205;0.155873;0.153612
202828;0.176752;0.152956;0.15249
212939;0.176855;0.151261;0.153361
223555;0.179777;0.151998;0.229649
234701;0.245636;0.227926;0.220838
246404;0.236718;0.219203;0.212369
258692;0.227078;0.210776;0.203844
271594;0.22044;0.203179;0.196496
285141;0.213144;0.195634;0.189627
299365;0.206499;0.189663;0.183488
314300;0.199675;0.184637;0.178969
329981;0.193869;0.178502;0.173485
346446;0.187739;0.172784;0.167841
363734;0.184494;0.167551;0.162805
381886;0.181205;0.163071;0.160215
400945;0.179127;0.160029;0.158428
420956;0.179662;0.157688;0.157113
441967;0.18134;0.155973;0.234339
464028;0.25762;0.231736;0.225849
487192;0.250055;0.224314;0.217678
511514;0.242281;0.216339;0.209697
537052;0.235198;0.208792;0.202424
563866;0.22742;0.201429;0.19486
592020;0.221087;0.194585;0.188366
621581;0.213973;0.18831;0.182417
652620;0.208175;0.182503;0.1766
685210;0.202727;0.177128;0.171345
719429;0.198205;0.171962;0.167102
755358;0.194427;0.167649;0.163531
793083;0.191912;0.164289;0.16136
832694;0.19069;0.161861;0.160973
874285;0.191921;0.161157;0.251809
917955;0.27346;0.248802;0.244516
963808;0.267178;0.242192;0.236776
1011953;0.260752;0.234303;0.228796
1062505;0.253249;0.228176;0.221704
1115584;0.246697;0.220683;0.214721
1171316;0.240535;0.214208;0.208055
1229834;0.234447;0.207462;0.201318
1291277;0.229648;0.201414;0.196018
1355792;0.224325;0.196516;0.190556
1423532;0.219622;0.191822;0.185544
1494659;0.215793;0.18706;0.181612
1569342;0.212343;0.183208;0.178874
1647759;0.210131;0.18144;0.178198
1730096;0.209854;0.179441;0.268165
1816549;0.211928;0.180705;0.262888
1907324;0.285554;0.261182;0.253743
2002637;0.278741;0.253542;0.247067
2102715;0.272056;0.245468;0.239004
2207796;0.266235;0.238648;0.232489
2318131;0.260901;0.232418;0.226213
2433982;0.2552;0.226717;0.220255
2555625;0.250701;0.221265;0.214219
2683350;0.246258;0.216408;0.209453
2817461;0.241882;0.210739;0.20456
2958277;0.237896;0.206761;0.200665
3106133;0.234985;0.203692;0.198011
3261381;0.232138;0.200379;0.196106
3424391;0.231495;0.198976;0.196754
3595551;0.232638;0.198959;0.281413
3775269;0.328989;0.281205;0.276005
3963972;0.322239;0.274967;0.269482
4162110;0.315736;0.26849;0.263651
4370154;0.309895;0.262611;0.257998
4588600;0.304272;0.257203;0.253247
4817968;0.299015;0.252043;0.248978
5058804;0.294888;0.247425;0.244359
5311681;0.290297;0.242818;0.240473
5577201;0.285567;0.238707;0.23709
5855997;0.282191;0.2353;0.233675
6148732;0.278942;0.232122;0.231241
6456103;0.277133;0.230009;0.229825
6778842;0.275676;0.228209;0.229272
7117717;0.276373;0.228233;0.32601
7473535;0.377837;0.321604;0.319634
7847143;0.372074;0.315425;0.315965
8239431;0.365641;0.31141;0.311097
8651333;0.361708;0.305576;0.3055
9083830;0.354518;0.299846;0.300243
9537951;0.350097;0.294913;0.296483
