cset: --> last message, executed args into cpuset "/user", new pid is: 959090
Running insertion:
absl::flat_hash_map;ankerl::unordered_dense::map;foa_unordered_rc15_map
10000;0.248703;0.392133;0.182697
10500;0.24287;0.389156;0.177852
11025;0.237399;0.387582;0.17347
11576;0.232557;0.386103;0.169519
12154;0.229321;0.388052;0.16631
12760;0.226533;0.390532;0.165596
13396;0.225312;0.453274;0.168226
14063;0.225956;0.441863;0.254178
14763;0.313025;0.431502;0.245672
15498;0.303709;0.422477;0.237476
16269;0.295751;0.414511;0.229922
17078;0.287415;0.414168;0.22252
17927;0.279381;0.408042;0.215642
18818;0.271907;0.402672;0.20918
19753;0.265105;0.398304;0.203811
20734;0.259187;0.39557;0.19831
21764;0.253347;0.39368;0.193701
22845;0.24782;0.393379;0.190052
23980;0.24334;0.394158;0.187795
25171;0.240766;0.395885;0.187767
26421;0.237688;0.466408;0.188762
27733;0.2385;0.455188;0.271485
29110;0.323817;0.443978;0.262798
30555;0.314916;0.43469;0.253343
32072;0.306253;0.426014;0.245259
33664;0.2976;0.42536;0.237664
35335;0.28946;0.41902;0.230051
37089;0.282088;0.413682;0.223915
38930;0.274396;0.409205;0.217927
40863;0.268684;0.405831;0.211928
42892;0.262116;0.403797;0.207374
45022;0.257257;0.403419;0.202595
47258;0.252637;0.404687;0.198874
49605;0.248275;0.406949;0.197281
52069;0.24586;0.411449;0.197544
54656;0.244795;0.477792;0.282013
57372;0.32808;0.465437;0.272373
60223;0.319641;0.453652;0.264502
63216;0.311071;0.444012;0.256198
66358;0.302831;0.442831;0.24854
69657;0.295136;0.43584;0.240852
73120;0.287508;0.429252;0.234167
76756;0.280347;0.424312;0.227828
80573;0.27332;0.420515;0.222192
84580;0.268553;0.418046;0.216983
88787;0.262712;0.417329;0.211894
93204;0.25859;0.417667;0.208341
97841;0.254059;0.420387;0.205379
102709;0.251668;0.424901;0.203801
107820;0.249388;0.495541;0.292426
113186;0.251313;0.483499;0.283595
118820;0.331111;0.474632;0.275181
124735;0.322777;0.462815;0.267177
130945;0.314971;0.456693;0.259571
137465;0.307652;0.453112;0.252356
144311;0.300522;0.446122;0.245534
151499;0.293749;0.440597;0.239428
159046;0.287294;0.437405;0.23362
166970;0.281059;0.433949;0.228269
175290;0.275639;0.432556;0.22353
184026;0.270918;0.432743;0.219655
193198;0.267009;0.434985;0.216931
202828;0.263921;0.43925;0.215502
212939;0.26217;0.516047;0.216292
223555;0.262428;0.502772;0.320664
234701;0.385584;0.490699;0.311369
246404;0.377377;0.479648;0.302489
258692;0.369957;0.470092;0.294204
271594;0.363585;0.47234;0.286472
285141;0.356801;0.465151;0.279048
299365;0.350703;0.459543;0.27213
314300;0.344649;0.455337;0.265565
329981;0.338973;0.451664;0.259931
346446;0.333296;0.449508;0.254262
363734;0.327816;0.449507;0.249535
381886;0.323017;0.45125;0.245986
400945;0.318808;0.455681;0.243929
420956;0.315471;0.542172;0.243733
441967;0.314008;0.528003;0.379208
464028;0.553528;0.514357;0.371741
487192;0.545932;0.50315;0.363859
511514;0.536377;0.51068;0.355144
537052;0.52683;0.514684;0.347257
563866;0.516991;0.511573;0.33791
592020;0.507445;0.509984;0.329513
621581;0.497892;0.506607;0.322891
652620;0.488654;0.506268;0.316089
685210;0.479966;0.498026;0.309547
719429;0.471347;0.496729;0.303879
755358;0.462973;0.496945;0.298546
793083;0.455642;0.499484;0.294987
832694;0.448578;0.504157;0.292854
874285;0.443887;0.635027;0.540735
917955;0.567926;0.621726;0.530215
963808;0.566242;0.610518;0.517047
1011953;0.559027;0.596713;0.502389
1062505;0.54905;0.64015;0.490218
1115584;0.5413;0.63468;0.476816
1171316;0.534716;0.627926;0.462191
1229834;0.525859;0.623778;0.45081
1291277;0.519132;0.620865;0.439003
1355792;0.512659;0.619497;0.428734
1423532;0.507451;0.621132;0.418715
1494659;0.501518;0.624162;0.410633
1569342;0.496138;0.629342;0.403646
1647759;0.493093;0.638598;0.399311
1730096;0.489362;0.825512;0.588335
1816549;0.488231;0.807508;0.578752
1907324;0.68278;0.789822;0.564646
2002637;0.672032;0.776224;0.550567
2102715;0.662046;0.814758;0.538831
2207796;0.65104;0.801542;0.526632
2318131;0.639418;0.791191;0.5139
2433982;0.632156;0.78467;0.504552
2555625;0.620905;0.777367;0.491804
2683350;0.612797;0.776598;0.483787
2817461;0.607019;0.778075;0.472587
2958277;0.600162;0.78429;0.464583
3106133;0.593777;0.796629;0.458154
3261381;0.587452;0.81391;0.452602
3424391;0.582893;1.05285;0.447075
3595551;0.577812;1.02734;0.637738
3775269;0.767348;1.00219;0.626506
3963972;0.760803;0.980346;0.617766
4162110;0.753095;0.959301;0.606205
4370154;0.744977;0.988029;0.594702
4588600;0.734434;0.971221;0.586929
4817968;0.730851;0.95465;0.580133
5058804;0.722384;0.944753;0.572336
5311681;0.718958;0.936997;0.564647
5577201;0.712307;0.935179;0.558264
5855997;0.707731;0.940064;0.551324
6148732;0.704669;0.953141;0.545563
6456103;0.698406;0.970888;0.541101
6778842;0.695856;1.23334;0.537428
7117717;0.693675;1.19792;0.727748
7473535;0.878783;1.16813;0.718085
7847143;0.870393;1.13659;0.70736
8239431;0.864789;1.10677;0.696447
8651333;0.85911;1.1329;0.688423
9083830;0.852325;1.1102;0.679864
9537951;0.84896;1.08809;0.673489
