cset: --> last message, executed args into cpuset "/user", new pid is: 854765
Running insertion:
absl::flat_hash_map;foa_unordered_rc16_map;foa_unordered_rc15_map
10000;0.575863;0.591269;0.587851
10500;0.562956;0.574081;0.570664
11025;0.551359;0.557472;0.555193
11576;0.541116;0.542414;0.541616
12154;0.532595;0.528915;0.530668
12760;0.525993;0.516275;0.519802
13396;0.522234;0.506417;0.511975
14063;0.522607;0.497608;0.775791
14763;0.670697;0.728421;0.750056
15498;0.651961;0.705047;0.725801
16269;0.63303;0.681761;0.702582
17078;0.615689;0.659826;0.68101
17927;0.599519;0.639022;0.660128
18818;0.584289;0.619378;0.639736
19753;0.570239;0.601209;0.621143
20734;0.557232;0.583727;0.603782
21764;0.546045;0.567239;0.586786
22845;0.53504;0.551965;0.57159
23980;0.526293;0.538006;0.557576
25171;0.519412;0.524966;0.545424
26421;0.514924;0.513846;0.536955
27733;0.514442;0.505424;0.808971
29110;0.718427;0.784347;0.783055
30555;0.697584;0.75846;0.757522
32072;0.677479;0.733251;0.733139
33664;0.658555;0.710648;0.710037
35335;0.640288;0.687491;0.687569
37089;0.623133;0.666011;0.666825
38930;0.60794;0.645785;0.647219
40863;0.593258;0.626254;0.628416
42892;0.580184;0.608079;0.611199
45022;0.568372;0.591115;0.594757
47258;0.558193;0.575374;0.580119
49605;0.549193;0.560931;0.567198
52069;0.543128;0.548319;0.556994
54656;0.539625;0.538018;0.835931
57372;0.749507;0.819741;0.80861
60223;0.728302;0.793464;0.78253
63216;0.707205;0.76756;0.756474
66358;0.687309;0.743007;0.732957
69657;0.668387;0.719581;0.709463
73120;0.6511;0.696654;0.688305
76756;0.634526;0.675636;0.668538
80573;0.619316;0.655863;0.649262
84580;0.60532;0.63716;0.631603
88787;0.59275;0.619389;0.614962
93204;0.581759;0.602866;0.598939
97841;0.572512;0.588508;0.586043
102709;0.565753;0.574531;0.574446
107820;0.561639;0.563137;0.860871
113186;0.560169;0.554127;0.833605
118820;0.757293;0.824231;0.808097
124735;0.737287;0.799003;0.7833
130945;0.717264;0.772689;0.75896
137465;0.698235;0.748652;0.735745
144311;0.680627;0.725905;0.714227
151499;0.663327;0.705036;0.694305
159046;0.6471;0.684083;0.673882
166970;0.632689;0.664657;0.655443
175290;0.619849;0.645929;0.638843
184026;0.609165;0.630158;0.623534
193198;0.599134;0.614558;0.608692
202828;0.591449;0.600373;0.596766
212939;0.586354;0.588067;0.587478
223555;0.584661;0.577911;0.883497
234701;0.815405;0.885568;0.855909
246404;0.797317;0.858333;0.830465
258692;0.779477;0.833079;0.806216
271594;0.761721;0.808634;0.782793
285141;0.745788;0.784275;0.75923
299365;0.729328;0.761266;0.736911
314300;0.710961;0.739027;0.718347
329981;0.697719;0.719179;0.697899
346446;0.685224;0.700353;0.680171
363734;0.672891;0.683092;0.66492
381886;0.662685;0.666673;0.650169
400945;0.653922;0.651829;0.636685
420956;0.646787;0.638861;0.624751
441967;0.64174;0.625589;0.957548
464028;0.892331;0.970653;0.940294
487192;0.886384;0.954509;0.920518
511514;0.876633;0.936785;0.899692
537052;0.865895;0.916471;0.879847
563866;0.856681;0.894809;0.855736
592020;0.841964;0.872488;0.833519
621581;0.830849;0.851484;0.813265
652620;0.819971;0.832761;0.793859
685210;0.809064;0.813016;0.775129
719429;0.798502;0.796032;0.756714
755358;0.788963;0.778534;0.739642
793083;0.780764;0.763498;0.726347
832694;0.775292;0.749207;0.713359
874285;0.771791;0.738272;1.05221
917955;1.02424;1.08383;1.04074
963808;1.02363;1.07609;1.02424
1011953;1.01565;1.05957;1.00609
1062505;1.00517;1.0412;0.986645
1115584;0.993672;1.0231;0.968589
1171316;0.984303;1.00507;0.949005
1229834;0.974813;0.989642;0.933311
1291277;0.966577;0.974054;0.917519
1355792;0.958422;0.957364;0.902023
1423532;0.951421;0.943517;0.887656
1494659;0.945575;0.929645;0.874946
1569342;0.942057;0.920086;0.862625
1647759;0.939459;0.907239;0.8508
1730096;0.940831;0.901692;1.18735
1816549;0.943911;0.892969;1.17722
1907324;1.18781;1.23925;1.16191
2002637;1.17641;1.22187;1.14579
2102715;1.16427;1.20522;1.12944
2207796;1.15315;1.1872;1.11477
2318131;1.143;1.17127;1.10051
2433982;1.13262;1.1539;1.08672
2555625;1.12414;1.13954;1.0734
2683350;1.11638;1.12511;1.05948
2817461;1.11005;1.1122;1.04786
2958277;1.10465;1.10147;1.0406
3106133;1.10104;1.09183;1.02864
3261381;1.09923;1.08251;1.02219
3424391;1.10028;1.07471;1.01273
3595551;1.10478;1.06981;1.34832
3775269;1.35137;1.41396;1.33276
3963972;1.34246;1.39699;1.31955
4162110;1.33289;1.38015;1.30921
4370154;1.32423;1.36673;1.29714
4588600;1.31611;1.35246;1.28716
4817968;1.30922;1.33969;1.2761
5058804;1.30325;1.32757;1.26737
5311681;1.2993;1.31628;1.25914
5577201;1.2944;1.30552;1.25278
5855997;1.29199;1.29562;1.24325
6148732;1.29078;1.28822;1.23744
6456103;1.29107;1.28043;1.22759
6778842;1.29298;1.27565;1.22401
7117717;1.2982;1.26981;1.55327
7473535;1.54599;1.61012;1.54159
7847143;1.53798;1.59879;1.53087
8239431;1.53097;1.5846;1.52036
8651333;1.52488;1.57153;1.51267
9083830;1.51863;1.56055;1.50525
9537951;1.51482;1.5502;1.49785
